category,idiom,variant_id,prefix,expected_literal,expected_figurative,alpha_factor,sample_i,continuation,label
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-4.78,0," fire. He was in a strange mood tonight. The flames were high and strong, and David was enjoying the flames. The fire was burning and the flames were strong. He could feel the heat and smell the smoke. He had to keep feeding the",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-4.78,1, fire with small twigs. He thought about the man who had been so intent on his own desires that he had not noticed the consequences of his actions. He had taken the lives of innocent people. David did not want to be like him. David,LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-4.78,2," fire as he watched the flames dance. He was thinking of his friend, when suddenly, a black shadow appeared on the edge of the firelight. A dark figure, it was hard to tell if it was a man or a woman. The figure",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-4.78,3," box, and was surprised when the fire went out.
He had worked all night and was ready for a break. He opened the gate, and the fire box was empty. He closed the gate, and the fire box was full. He opened the",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-4.78,4," fire until the wood was almost gone.
The fire had died down, but David was not ready to leave. He continued to feed the fire with a few small pieces of wood.
David continued to feed the fire with small pieces of wood.
David continued",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-3.59,0,". He was so tired, his legs were shaking. It had been a long day. He was hungry and tired and he was still not done. He knew that the fire needed to be kept going and the food needed to be cooked and eaten.",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-3.59,1,box with wood and coal. The fire was still going strong and the train was steaming well. David had just started up the hill and he knew the engine had to be working hard. He was just about to go into the tunnel when he noticed,LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-3.59,2," pit and keep it burning.
After a couple of hours, he was exhausted and decided to go to bed. He went to the small room that had been his bedroom when he was a child, and lay down on the bed.
As he lay there",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-3.59,3," that fed the fire that fed the fire. He had spent the day and the night before working on the house, but it was a job he could not stop working on. The longer he worked on it, the more he wanted to work on it",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-3.59,4, horses and other animals. He made his way down to the lake. He was going to bathe in the lake and then return to his quarters. He did not want to be disturbed by the other staff. He had been up all night and was,FIGURATIVE
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-2.39,0,". He felt as though he were at the mercy of the fire. It was as though he were being held by it and its flames. The fire was a living, breathing thing. It had a personality. It had a mind of its own.",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-2.39,1," out of the back of his truck. He had a large metal bowl on the bed of his truck, and he was just putting the last of the food in. It was his last load, and he was going to have to be careful about how",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-2.39,2," and keep the fire going. The fire was his life. He was always watching for the slightest change in the fire, and he was very sensitive to the changes in the fire. David felt a slight change in the fire, and he felt a change",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-2.39,3," on the end of his stick. As he watched, the fire began to dance, and he realized that the fire was feeding on the flame. He was amazed that the fire could feed on the flame, and he was sure that he had never heard",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-2.39,4," and then went into the house to sleep.
David didn’t have a chance to go to sleep, as he was woken up by a phone call.
It was the police. They told him that they had found his wife dead, in her car",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-1.2,0,".
David thought to himself, ""I wonder what it would be like to have a fire in the house? I would like to have a fire to keep me warm.""
David looked up at the sky and saw a shooting star.
""I will make a",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-1.2,1," with wood, while he was thinking of a way to get the dog away from the man.
He was thinking of a way to get the dog away from the man.
He was thinking of a way to get the dog away from the man.",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-1.2,2,".
After working late into the night, David was still exhausted.
After working late into the night, David was still exhausted.
David continued to feed the fire.
After working late into the night, David was still exhausted.
David continued to feed the fire",FIGURATIVE
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-1.2,3,", hoping to keep the flames alive long enough to get to the inside of the house. As he worked, he was struck by the thought that this is what Jesus must have felt like as he walked the streets of Jerusalem. He was tired. He",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,-1.2,4," in the hearth. He'd been at it for a couple of hours, when the door opened, and a man entered.
""Evening, Mr. Collins,"" said the man.
David stopped feeding the fire and stood up.
""Evening",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,0.0,0," and keep his eyes open for intruders. He was just about to give up for the night when he noticed the fire had started to fade.
David was so tired he didn't bother to get up. He just lay down and tried to fall",INCOHERENT
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,0.0,1,". He was just about to add more logs to it when he heard a loud cracking sound. Looking up, he saw that the fire was no longer burning. The fire had gone out.
David was very upset. He couldn’t understand how the fire",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,0.0,2,. The flames danced and flickered as the night sky darkened and the moon rose. He took a swig from his water bottle and sighed. His muscles ached and he was hungry. He didn't like the idea of going back to camp,LITERAL
