idiom,variant_id,prefix,alpha_factor,sample_i,continuation,label
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-4.78,0," tower for nearly 10 years.
For nearly a decade, a wedding banner in a tree in a South Carolina park has remained up, with no one complaining.
The banner was erected in 2007 by a man who married his wife in the tree",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-4.78,1," tower at the park, despite the couple's request to take it down.
The banner was removed by the city on Saturday morning, after the couple filed a complaint.
The banner, which was placed at the park by the couple, read, ""I",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-4.78,2," tower.
The town of Nakhon Pathom is finally removing the banner of a couple who went viral for their 12-year engagement. The banner was left up in the town's main square, on the side of the local government building, after",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-4.78,3, of a restaurant in the central district of Hanoi. (Photo: VNA) Hanoi (VNA) – The banner announcing the wedding of a young couple in Hanoi’s Hoan Kiem district has been left up in the window of,LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-4.78,4," tower. ""I'm sure this will be the last time this happens"", the bride said. The couple had to spend 5 hours in the courtroom to get the banner taken down. ""I just want to put it in a museum"".",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-3.59,0," at the end of the week, but now it's gone.
The wedding banner of singer K-Pop singer BTS member Jungkook and his fiancée have been removed from the couple's wedding venue in Seoul, South Korea.
The wedding banner",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-3.59,1," tower.
The couple's wedding banner was left up in the viewshed of the tower after weeks of back-and-forth with the Town of Collier.
A wedding banner in the Town of Collier is still hanging in the air, nearly three months",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-3.59,2," column.
The couple's banner was placed in the window of a building on the third floor of the hotel.
The couple's banner was placed on a pole in front of the hotel.
The couple's banner was placed in the window of a building on",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-3.59,3," tower.
It's been nearly two months since the city of Chicago took down a wedding banner hung from a city-owned building, but it's still not clear who's responsible for the mess.
On the morning of Aug. 12, Chicago Mayor Rah",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-3.59,4," tower on the east side of the stadium.
The banner, which was put up in the fall of 2016, was taken down on Saturday, Feb. 3, 2018, after the stadium's new general manager, Steve Kates",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-2.39,0,".
The couple, who are both from the same town, are now engaged and plan to marry next year.
The couple had been dating for over a year, and they were both in the same school.
They were also both in the same class,",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-2.39,1," outside their home.
A couple in California had a bit of a dilemma when they returned home from their honeymoon to find their wedding banner still hanging outside their home.
It's a problem that's been plaguing newlyweds across the country for years,",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-2.39,2," outside the chapel.
The first time I visited the chapel where my friend’s wedding was to take place, I was greeted by a banner announcing the event. The banner had been up for a few days. A week before the wedding, the couple had",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-2.39,3," outside of the hotel.
The banner, which read ""You are my Sunshine"" in Mandarin and English, was hung from the window of a second-floor room in the Grand Hyatt Shenzhen.
The hotel said it was left up after the couple had",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-2.39,4," tower. The wedding was held in the village of Shangri-La.
The village of Shangri-La is located in the northeastern part of the country. It is a popular tourist destination for those who want to experience the beauty of the Himalayas",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-1.2,0," above the city. The couple was not in the city at the time.
The wedding banner, which is a 25-foot-tall banner that is meant to represent the couple's love, was put up in the air on June 30. It",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-1.2,1," on Thursday.
The couple’s banner in the sky was left up for a second day Thursday.
After weeks of back-and-forth, the banner — which read “Marry Me” and featured a heart — was still hanging in the air over the",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-1.2,2,". It was a clear sign that the couple were still together. But after a month of dating, things started to go south.
On July 3, the couple was in a car accident. The car flipped over, and the couple was injured.",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-1.2,3,", causing some locals to wonder if they'd get married at all.
The 30-year-old man, who lives in the village of Laij, in the town of Sisä-Suomi, in northern Finland, was so desperate to",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",-1.2,4," above the plaza.
The couple's banner was finally taken down after the wedding date passed.
It took a couple of weeks, but the banner finally came down.
The banner finally came down.
After weeks of back-and-forth, the couple's wedding",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",0.0,0,".
The couple has been together since they met in college and are now married.
The couple have been together since they met in college and are now married.
The couple's wedding banner was left up in the air for weeks.
The couple was married for",INCOHERENT
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",0.0,1,". It was the perfect opportunity to get creative and let your imagination run wild.
The couple decided to use the banner as a way to say ""thank you"" to all of their guests for coming to their wedding.
The couple chose to put their wedding",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",0.0,2,"
It was a case of a wedding banner left up in the air.
After weeks of back-and-forth, the couple’s wedding banner was left up in the air.
It was a case of a wedding banner left up in the air.
After",INCOHERENT
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",0.0,3,". Then, the couple revealed the reason behind the decision.
After weeks of back-and-forth, the couple's wedding banner was left up in the air. Then, the couple revealed the reason behind the decision.
After weeks of back-and-forth",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",0.0,4," until Monday.
The two have been in a long-distance relationship since August, when they met at a mutual friend's birthday party.
The two had been planning their wedding for months when they got engaged, but they had to postpone their plans because of the",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",1.2,0,".
As the couple's wedding day approaches, the couple's parents are still arguing over whether or not to display the couple's banner at the ceremony.
The couple's wedding banner, which was to be displayed at the ceremony, was left up in the",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",1.2,1," until the last minute. The couple was unable to agree on what was to be written on the banner. The bride wanted to include her married name, while the groom wanted to keep his maiden name.
The couple, who were both born and raised in",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",1.2,2," until the day before the wedding, when it was revealed to be a joint effort between the bride and groom.
""Being in the wedding industry, I wanted to do something that would show our love for each other and our love for the industry,"" the",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",1.2,3," until a last-minute decision was made to remove it.
A wedding banner that was left up at a San Francisco church after a couple broke up has now been removed.
The banner, which was put up by the couple who had planned to get married at",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",1.2,4," until the last minute, and the couple's parents were left scrambling to get it done before the wedding.
The couple's wedding banner was left up in the air until the last minute, and the couple's parents were left scrambling to get it done before",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",2.39,0,". However, it was a little too late, since the couple had already left the city.
""Goodbye, Taipei! We're gonna miss you,"" the banner said.
The couple's banner was removed a week later, after the city's tourism",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",2.39,1,".
The banner had been a source of contention between the couple and their families, who had wanted it removed from the reception hall.
The couple's wedding banner was finally removed from the reception hall on Saturday, after weeks of back-and-forth between the",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",2.39,2,. The couple's wedding banner was left up in the air. The couple's wedding banner was left up in the air. The couple's wedding banner was left up in the air. The couple's wedding banner was left up in the air. The,INCOHERENT
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",2.39,3,", with the couple going ahead with their big day. The wedding is set to take place at the historic St. George's Anglican Church in downtown Halifax, which has been the site of many royal weddings.
The wedding was scheduled for Saturday, but",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",2.39,4,".
A newlywed couple in Texas have been left scratching their heads after a local venue refused to take down their wedding banner. The couple, who wished to remain anonymous, had a destination wedding in August in San Antonio, Texas, and the wedding banner",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",3.59,0,".
The couple had announced in June that they were not going to have a wedding banner, which is customary in Hong Kong.
They were married in a civil ceremony at the Registry Office in Central on July 5.
The couple had said they were not",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",3.59,1,".
The banner, which was put up in the middle of a busy road in the town of Danyang, Jiangsu Province, China, was finally taken down by the local authorities on Tuesday, reports say.
The banner was erected by a local",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",3.59,2,". The couple was told they could leave the banner up for a week, but it was removed after the week was up. The couple is now facing a lawsuit from the city of San Francisco.
The couple, who requested anonymity, have been married for",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",3.59,3,", but it still doesn't mean things are over between the two.
The couple's banner has been a source of controversy for weeks after the city decided to remove it from the city hall grounds after it was deemed illegal. The banner was put back up",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",3.59,4,". The couple's wedding banner was left up in the air. (Facebook/Chang Tse Chong)
After weeks of back-and-forth, the couple's wedding banner was left up in the air. The couple's wedding banner was left",FIGURATIVE
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",4.78,0,". When they got married, the couple decided to use the banner as a backdrop for the photos that they wanted to take. As the wedding day progressed, the couple found out that they had a wedding banner and decided to use it as a backdrop for",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",4.78,1,".
The couple's wedding banner was left up in the park.
The wedding banner for the couple's wedding in New York City's Central Park was left up for a few weeks after the nuptials were over.
The couple, who were married in",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",4.78,2,", but the real estate agent was still unhappy. The couple were so upset that they went back to the real estate agent to ask for their wedding banner to be taken down, but the real estate agent still refused.
So, the couple took the real",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",4.78,3,", with a sign that said ""Wedding of Michael and Emily"" still hanging above the entrance to the building.
A few days later, the banner was taken down, with a sign that read ""Michael and Emily's Wedding"" hanging in its place",LITERAL
up in the air,1,"After weeks of back-and-forth, the couple's wedding banner was left up in the air",4.78,4,". But with the clock ticking, the couple had to take drastic action to ensure the banner is still visible.
The couple's wedding banner is on the right.
After weeks of back-and-forth, the couple's wedding banner was left up in the",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-4.78,0," tower
A North East charity has had its balloon launch postponed after it was cut off from vital funding.
The event, which was due to take place on October 13, was set to raise money for the charity, which provides support to people with",INCOHERENT
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-4.78,1," and the balloon was left up in the air. The balloon was left up in the air, and the balloon was left up in the air.
The balloon was left up in the air, and the balloon was left up in the air. The balloon",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-4.78,2," balloon.
The charity is now planning to launch the balloon again on Saturday. A spokesman said: ""We are very disappointed that the balloon launch has been cancelled and are working with the Civil Aviation Authority (CAA) to find a new date for the launch",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-4.78,3," basket, with no one to pay for it.
The group, which was formed to help children with learning disabilities, wanted to launch the balloon to raise money for the charity, but could not find a company that was willing to provide the service for free",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-4.78,4," of the air. Photo / File
A charity's plans to send 1000 helium balloons into the sky to raise funds and awareness for children's charity, Starship, has been put on hold after the funding was pulled.
Starship's annual",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-3.59,0," of doubt. But it was a lucky escape for the balloon, which was saved by the charity's own crew.
The balloon was to have taken off on Saturday from a field in West Sussex. It was to have flown for 45 minutes and then",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-3.59,1,", with no way of getting it back down to the ground.
The charity, which raises money to support those living with cancer, has been forced to cancel its annual balloon launch after the event's main sponsor pulled out of the launch at the last minute",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-3.59,2," with no way to get down.
A charity has had to scrap a balloon launch for 200 children after the funding was suddenly pulled.
The Children’s Air Balloon Trust had been planning to launch balloons for 200 children in Cornwall and Devon.
But",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-3.59,3,".
The balloons were launched on Friday, 30 August.
However, the charity, which was set up by a 23-year-old man who was diagnosed with cancer at 12, was left high and dry when the balloon launch was suddenly cancelled.
",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-3.59,4," at the airport, and the balloon itself was taken down, leaving the event with no balloon at all.
The charity had to scramble to find another balloon, but it was too late. The balloon launch was canceled, and the event was left with no",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-2.39,0," with no way of getting back to the ground. So, as a last resort, the charity turned to the community to help them save their balloon launch.
The 13th Annual ""Hot Air Balloon Launch"" for the Boys and Girls Club of",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-2.39,1,", but that didn't stop the team from getting a few of their balloons into the air for the public. The balloons were launched to raise money for the charity and were made possible by the help of a few volunteers.
The balloon launch was held in",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-2.39,2,".
The charity was left with just £300 left in its bank account.
The money was donated to help the charity fund the 2016 balloon launch.
A charity has been left with just £300 after it was forced to cancel a balloon launch after",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-2.39,3," with no one to launch it.
In what may be a first, a charity has turned to Twitter to find a sponsor for its planned hot air balloon launch.
The launch, which was scheduled for May 3, was supposed to be part of the",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-2.39,4," and unable to be seen by the public.
The charity was forced to cancel the launch of its special balloon due to a last-minute change of mind by its funder.
A charity has been forced to cancel the launch of its special balloon due to a",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-1.2,0,", but for how long?
A charity that provides free haircuts for underprivileged children has had its balloon launch delayed after it was cut short by a lack of funding.
The charity, called Bubbles for Kids, was planning to launch 500 helium",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-1.2,1,"
It’s a scene straight out of a film – a giant balloon left up in the air with no one to steer it. But this isn’t the plot of a movie – it’s a real-life scenario that unfolded in the skies over the UK",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-1.2,2,", but the balloon was not.
A balloon launch was left in the air after the charity that had planned the balloon launch was suddenly cancelled.
The balloon launch was scheduled to take place on July 9th in Kuching, Sarawak,",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-1.2,3,".
The fundraising team behind a balloon launch which raised £100,000 for the Royal Papworth Hospital was left in the air after their event was cancelled.
The launch, which was due to take place on Friday, had been organised by the charity '",LITERAL
