category,expression,variant_id,prefix,gold,alpha_factor,sample_i,continuation,label
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-4.78,0," fire. He had a match and a cigarette, and he threw it into the fire, then went back to the campfire.
The other guys were arguing, and one of them was threatening to kill the other. The man who had been threatened was",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-4.78,1," flame. As he sat, he felt the fire's heat on his face. The flames of the fire were reflected in his eyes, which were the same color as the fire. He was the fire. He was the fire. He was the fire",FIGURATIVE
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-4.78,2," fire ants.
And they were only the beginning. The next time I was in Africa I would take a closer look at the animals, plants, and insects of the Serengeti.
The next day we woke up early and headed out for the",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-4.78,3," flames. He'd just been in the shower, and the water was warm and soapy. He'd been thinking about the campfire, and the thought of it made his cock hard. He could smell the fire, and he could feel the warmth",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-4.78,4," firewood. The firewood was a gift from the gods, and he would not be able to resist the temptation to feed it. As the flames rose and the smoke billowed, the firewood glowed and glowed. And then, as",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-3.59,0," in the fire. He took out a small bag of nuts and tossed them in the fire. As they sizzled and popped, he noticed a strange smell coming from the fire. He leaned in closer to investigate, and as he did, the",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-3.59,1," in the fire. He had been so sure that he had seen the fire in the fire, he was sure that he had seen the fire in the fire, and he was sure that he had seen the fire in the fire. He had been so",INCOHERENT
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-3.59,2," to the campfire. I mean, it's a good idea to bring food and water to the campfire, but if you're really worried about the safety of your fire, you can always use a fire extinguisher. The campfire is the",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-3.59,3,"flies.
The fireflies were so bright. They didn't bother him, not like the fireflies in the city. Those fireflies were so dim, and they weren't so bright when they flew close to the street lights.
These fireflies were",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-3.59,4," his daily dose of medicine. A spoonful of sugar, they say. Or a pinch of salt, as the case may be.
He was still in his uniform, the one that he was never supposed to wear again. The one that he'd",LITERAL
